form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,paradigm_tag,overabundance_tag,source,page,language_id
vaiphei001,no_stem,1.sg,kei,kei,kei,k ei,k ei,unspecified,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei002,no_stem,1.pl.excl,keu,keu,ke+u,k e u,k e + u,informal,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei003,no_stem,1.pl.excl,kei uh,kei uh,kei+uh,k ei u ʔ,k ei + u ʔ,formal,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei004,no_stem,1.pl.incl,eu,eu,e+u,e u,e + u,informal,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei005,no_stem,1.pl.incl,ei uh,ei uh,ei+uh,ei u ʔ,ei + u ʔ,formal,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei006,no_stem,2.sg,nang,nang,nang,n a ŋ,n a ŋ,informal,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei007,no_stem,2.sg,nangma,nangma,nang+ma,n a ŋ m a,n a ŋ + m a,formal,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei008,no_stem,2.pl,nau,nau,na+u,n a u,n a + u,informal,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei009,no_stem,2.pl,nanguh,nanguh,nang+uh,n a ŋ u ʔ,n a ŋ + u ʔ,formal,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei010,no_stem,3.sg,ama,ama,a+ma,a m a,a + m a,unspecified,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei011,no_stem,3.pl,amau,amau,a+ma+u,a m a u,a + m a + u,unspecified,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei012,chia,1.sg.fut.aff,chia di kahi,Σ di kahi,Σ+di+ka+hi,Σ d i k a h i,Σ + d i + k a + h i,unspecified,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei013,chia,1.pl.excl.fut.aff,chia di kahiu,Σ di kahiu,Σ+di+ka+hi+u,Σ d i k a h i u,Σ + d i + k a + h i + u,unspecified,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei014,chia,1.pl.incl.fut.aff,chia di ihiu,Σ di ihiu,Σ+di+i+hi+u,Σ d i i h i u,Σ + d i + i + h i + u,unspecified,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei015,mu,1.sg.2.sg.fut.aff,hun mu di kahi,hun Σ di kahi,hun+Σ+di+ka+hi,h u n Σ d i k a h i,h u n + Σ + d i + k a + h i,unspecified,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei016,mu,1.sg.2.sg.fut.aff,mu di kahi,Σ di kahi,Σ+di+ka+hi,Σ d i k a h i,Σ + d i + k a + h i,unspecified,,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei017,mu,1.sg.2.pl.fut.aff,hun mu di kahi,hun Σ di kahi,hun+Σ+di+ka+hi,h u n Σ d i k a h i,h u n + Σ + d i + k a + h i,unspecified,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei018,mu,1.sg.2.pl.fut.aff,mu di kahi,Σ di kahi,Σ+di+ka+hi,Σ d i k a h i,Σ + d i + k a + h i,unspecified,,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei019,mu,1.pl.excl.2.sg.fut.aff,hun mu di kahiu,hun Σ di kahiu,hun+Σ+di+ka+hi+u,h u n Σ d i k a h i u,h u n + Σ + d i + k a + h i + u,unspecified,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei020,mu,1.pl.excl.2.sg.fut.aff,mu di kahiu,Σ di kahiu,Σ+di+ka+hi+u,Σ d i k a h i u,Σ + d i + k a + h i + u,unspecified,,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei021,mu,1.pl.excl.2.pl.fut.aff,hun mu di kahiu,hun Σ di kahiu,hun+Σ+di+ka+hi+u,h u n Σ d i k a h i u,h u n + Σ + d i + k a + h i + u,unspecified,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei022,mu,1.pl.excl.2.pl.fut.aff,mu di kahiu,Σ di kahiu,Σ+di+ka+hi+u,Σ d i k a h i u,Σ + d i + k a + h i + u,unspecified,,optional_hun,Reich2026Vaiphei,nopage,vaiphei
vaiphei023,mu,1.sg.3.sg.fut.aff,mu di kahi,Σ di kahi,Σ+di+ka+hi,Σ d i k a h i,Σ + d i + k a + h i,unspecified,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei024,mu,1.sg.3.pl.fut.aff,mu di kahi,Σ di kahi,Σ+di+ka+hi,Σ d i k a h i,Σ + d i + k a + h i,unspecified,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei025,mu,1.pl.excl.3.sg.fut.aff,mu di kahiu,Σ di kahiu,Σ+di+ka+hi+u,Σ d i k a h i u,Σ + d i + k a + h i + u,unspecified,,,Reich2026Vaiphei,nopage,vaiphei
vaiphei026,mu,1.pl.incl.3.sg.fut.aff,mu di ihiu,Σ di ihiu,Σ+di+i+hi+u,Σ d i i h i u,Σ + d i + i + h i + u,unspecified,,,Reich2026Vaiphei,nopage,vaiphei
